#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.016,-0.07,0.77,0.62,-0.34,0.07,0.50,-0.14,-0.33,-0.04,0.00
0.017,-0.07,0.77,0.62,-0.37,0.09,0.41,-0.14,-0.33,-0.04,0.00
0.022,-0.03,0.75,0.61,-0.37,0.09,0.41,-0.14,-0.33,-0.04,0.00
0.023,-0.07,0.73,0.72,-0.37,0.09,0.41,-0.14,-0.33,-0.04,0.00
0.023,-0.07,0.74,0.68,-0.37,0.09,0.41,-0.14,-0.33,-0.04,0.00
0.041,-0.07,0.74,0.68,-0.37,0.09,0.41,-0.04,-0.05,0.00,0.00
0.042,-0.07,0.74,0.68,-0.06,0.06,-0.16,-0.04,-0.05,0.00,0.00
0.081,-0.07,0.74,0.68,-0.06,0.06,-0.16,0.02,-0.12,0.01,0.00
0.082,-0.05,0.75,0.64,-0.06,0.06,-0.16,0.02,-0.12,0.01,0.00
0.082,-0.03,0.73,0.68,-0.06,0.06,-0.16,0.02,-0.12,0.01,0.00
0.082,-0.01,0.71,0.68,-0.06,0.06,-0.16,0.02,-0.12,0.01,0.00
0.083,-0.01,0.71,0.68,0.13,-0.08,-0.16,0.02,-0.12,0.01,0.00
0.12,-0.01,0.71,0.68,0.13,-0.08,-0.16,-0.08,-0.14,-0.04,0.00
0.121,-0.01,0.71,0.68,0.10,-0.06,-0.17,-0.08,-0.14,-0.04,0.00
0.141,-0.02,0.71,0.68,0.10,-0.06,-0.17,-0.08,-0.14,-0.04,0.00
0.142,-0.02,0.72,0.66,0.10,-0.06,-0.17,-0.08,-0.14,-0.04,0.00
0.142,-0.03,0.72,0.65,0.10,-0.06,-0.17,-0.08,-0.14,-0.04,0.00
0.16,-0.03,0.72,0.65,0.10,-0.06,-0.17,-0.06,-0.09,-0.06,0.00
0.161,-0.03,0.72,0.65,0.16,-0.15,-0.21,-0.06,-0.09,-0.06,0.00
0.2,-0.03,0.72,0.65,0.16,-0.15,-0.21,-0.13,-0.25,-0.17,0.00
0.201,-0.01,0.71,0.67,0.16,-0.15,-0.21,-0.13,-0.25,-0.17,0.00
0.201,-0.00,0.70,0.68,0.16,-0.15,-0.21,-0.13,-0.25,-0.17,0.00
0.202,-0.00,0.69,0.68,0.16,-0.15,-0.21,-0.13,-0.25,-0.17,0.00
0.202,-0.00,0.69,0.68,0.29,-0.24,-0.13,-0.13,-0.25,-0.17,0.00
0.239,-0.00,0.69,0.68,0.31,-0.20,-0.14,-0.13,-0.25,-0.17,0.00
0.241,-0.00,0.69,0.68,0.31,-0.20,-0.14,-0.08,-0.17,-0.31,0.00
0.259,-0.01,0.70,0.68,0.31,-0.20,-0.14,-0.08,-0.17,-0.31,0.00
0.26,-0.04,0.71,0.71,0.31,-0.20,-0.14,-0.08,-0.17,-0.31,0.00
0.26,-0.09,0.71,0.71,0.31,-0.20,-0.14,-0.08,-0.17,-0.31,0.00
0.286,-0.09,0.71,0.71,0.31,-0.20,-0.14,0.08,-0.07,-0.32,0.00
0.287,-0.09,0.71,0.71,0.01,-0.14,0.13,0.08,-0.07,-0.32,0.00
0.318,-0.09,0.71,0.71,0.01,-0.14,0.13,-0.00,-0.14,-0.22,0.00
0.319,-0.08,0.71,0.72,0.01,-0.14,0.13,-0.00,-0.14,-0.22,0.00
0.32,-0.05,0.69,0.73,0.01,-0.14,0.13,-0.00,-0.14,-0.22,0.00
0.32,0.00,0.69,0.75,0.01,-0.14,0.13,-0.00,-0.14,-0.22,0.00
0.321,0.00,0.69,0.75,0.07,-0.21,0.39,-0.00,-0.14,-0.22,0.00
