time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.16,0.71,0.65,-0.09,0.50,-0.72,-0.13,-0.18,-0.18,0.00
0.007,-0.17,0.73,0.52,-0.09,0.50,-0.72,-0.13,-0.18,-0.18,0.00
0.007,-0.16,0.73,0.60,-0.09,0.50,-0.72,-0.13,-0.18,-0.18,0.00
0.022,-0.16,0.73,0.60,-0.14,0.51,-0.88,-0.13,-0.18,-0.18,0.00
0.023,-0.16,0.73,0.60,-0.14,0.51,-0.88,-0.23,-0.53,0.05,0.00
0.062,-0.16,0.73,0.60,0.09,0.69,-0.45,-0.23,-0.53,0.05,0.00
0.062,-0.16,0.73,0.60,0.09,0.69,-0.45,-0.49,-0.45,0.13,0.00
0.063,-0.11,0.74,0.63,0.09,0.69,-0.45,-0.49,-0.45,0.13,0.00
0.063,-0.11,0.74,0.63,0.09,0.69,-0.45,-0.49,-0.45,0.13,0.00
0.063,-0.15,0.73,0.66,0.09,0.69,-0.45,-0.49,-0.45,0.13,0.00
0.102,-0.15,0.73,0.66,-0.03,0.69,-0.50,-0.49,-0.45,0.13,0.00
0.102,-0.15,0.73,0.66,-0.03,0.69,-0.50,-0.36,-0.45,0.03,0.00
0.121,-0.20,0.75,0.68,-0.03,0.69,-0.50,-0.36,-0.45,0.03,0.00
0.122,-0.21,0.77,0.71,-0.03,0.69,-0.50,-0.36,-0.45,0.03,0.00
0.123,-0.17,0.77,0.75,-0.03,0.69,-0.50,-0.36,-0.45,0.03,0.00
0.141,-0.17,0.77,0.75,-0.03,0.69,-0.50,-0.14,-0.58,0.14,0.00
0.142,-0.17,0.77,0.75,-0.80,0.85,0.11,-0.14,-0.58,0.14,0.00
0.182,-0.17,0.77,0.75,-0.22,0.48,0.15,-0.14,-0.58,0.14,0.00
0.183,-0.17,0.77,0.75,-0.22,0.48,0.15,-0.07,-0.36,0.20,0.00
0.183,-0.13,0.75,0.74,-0.22,0.48,0.15,-0.07,-0.36,0.20,0.00
0.184,-0.12,0.74,0.71,-0.22,0.48,0.15,-0.07,-0.36,0.20,0.00
0.185,-0.11,0.70,0.71,-0.22,0.48,0.15,-0.07,-0.36,0.20,0.00
0.22,-0.11,0.70,0.71,-0.22,0.48,0.15,0.02,-0.13,0.11,0.00
0.221,-0.11,0.70,0.71,-0.26,0.42,0.13,0.02,-0.13,0.11,0.00
0.24,-0.08,0.72,0.70,-0.26,0.42,0.13,0.02,-0.13,0.11,0.00
0.241,-0.05,0.74,0.69,-0.26,0.42,0.13,0.02,-0.13,0.11,0.00
0.242,-0.03,0.74,0.70,-0.26,0.42,0.13,0.02,-0.13,0.11,0.00
0.26,-0.03,0.74,0.70,0.26,0.37,-0.10,0.02,-0.13,0.11,0.00
0.261,-0.03,0.74,0.70,0.26,0.37,-0.10,0.03,-0.29,0.10,0.00
0.299,-0.03,0.74,0.70,0.26,0.37,-0.10,-0.17,-0.21,0.17,0.00
0.301,-0.02,0.73,0.71,0.26,0.37,-0.10,-0.17,-0.21,0.17,0.00
0.302,-0.00,0.73,0.69,0.26,0.37,-0.10,-0.17,-0.21,0.17,0.00
0.303,0.03,0.73,0.76,0.26,0.37,-0.10,-0.17,-0.21,0.17,0.00
0.304,0.03,0.73,0.76,0.65,0.38,0.07,-0.17,-0.21,0.17,0.00
0.344,0.03,0.73,0.76,0.65,0.38,0.07,-0.31,-0.23,0.19,0.00
0.344,0.03,0.73,0.76,0.49,0.43,-0.02,-0.31,-0.23,0.19,0.00
0.358,-0.03,0.70,0.95,0.49,0.43,-0.02,-0.31,-0.23,0.19,0.00
0.36,-0.04,0.62,1.02,0.49,0.43,-0.02,-0.31,-0.23,0.19,0.00
0.36,-0.02,0.52,0.85,0.49,0.43,-0.02,-0.31,-0.23,0.19,0.00
0.378,-0.02,0.52,0.85,0.05,-0.68,1.99,-0.31,-0.23,0.19,0.00
0.38,-0.02,0.52,0.85,0.05,-0.68,1.99,-0.03,-0.20,0.26,0.00
0.418,-0.02,0.52,0.85,0.05,-0.68,1.99,0.34,-0.01,0.22,0.00
0.419,-0.00,0.51,0.66,0.05,-0.68,1.99,0.34,-0.01,0.22,0.00
0.42,0.06,0.59,0.57,0.05,-0.68,1.99,0.34,-0.01,0.22,0.00
0.42,0.09,0.69,0.67,0.05,-0.68,1.99,0.34,-0.01,0.22,0.00
0.421,0.09,0.69,0.67,0.71,-0.86,-0.89,0.34,-0.01,0.22,0.00
0.458,0.09,0.69,0.67,0.71,-0.86,-0.89,0.03,0.13,0.01,0.00
0.459,0.09,0.69,0.67,0.69,-0.81,-0.82,0.03,0.13,0.01,0.00
0.477,0.03,0.68,0.83,0.69,-0.81,-0.82,0.03,0.13,0.01,0.00
0.478,0.00,0.62,0.90,0.69,-0.81,-0.82,0.03,0.13,0.01,0.00
0.479,-0.00,0.60,0.88,0.69,-0.81,-0.82,0.03,0.13,0.01,0.00
0.498,-0.00,0.60,0.88,0.69,-0.81,-0.82,-0.02,0.52,0.26,0.00
0.499,-0.00,0.60,0.88,0.37,-0.42,1.38,-0.02,0.52,0.26,0.00
0.536,-0.00,0.60,0.88,0.37,-0.42,1.38,0.12,0.73,0.37,0.00
0.537,-0.03,0.64,0.75,0.37,-0.42,1.38,0.12,0.73,0.37,0.00
0.537,0.01,0.60,0.64,0.37,-0.42,1.38,0.12,0.73,0.37,0.00
0.538,0.04,0.54,0.65,0.37,-0.42,1.38,0.12,0.73,0.37,0.00
0.538,0.04,0.54,0.65,0.40,-0.79,-0.36,0.12,0.73,0.37,0.00
0.576,0.04,0.54,0.65,0.40,-0.79,-0.36,-0.01,0.56,0.11,0.00
0.577,0.04,0.54,0.65,0.49,-0.74,-0.34,-0.01,0.56,0.11,0.00
0.608,0.04,0.58,0.67,0.49,-0.74,-0.34,-0.01,0.56,0.11,0.00
0.609,0.02,0.64,0.68,0.49,-0.74,-0.34,-0.01,0.56,0.11,0.00
0.61,-0.00,0.68,0.71,0.49,-0.74,-0.34,-0.01,0.56,0.11,0.00
0.617,-0.00,0.68,0.71,0.49,-0.74,-0.34,-0.03,0.36,0.06,0.00
0.618,-0.00,0.68,0.71,0.66,-0.30,-0.27,-0.03,0.36,0.06,0.00
0.655,-0.00,0.68,0.71,0.25,0.11,0.60,-0.03,0.36,0.06,0.00
0.656,-0.00,0.68,0.71,0.25,0.11,0.60,-0.36,0.38,0.19,0.00
0.656,-0.01,0.71,0.76,0.25,0.11,0.60,-0.36,0.38,0.19,0.00
0.657,-0.03,0.68,0.80,0.25,0.11,0.60,-0.36,0.38,0.19,0.00
0.657,-0.05,0.61,0.80,0.25,0.11,0.60,-0.36,0.38,0.19,0.00
0.695,-0.05,0.61,0.80,0.25,0.11,0.60,-0.15,0.08,0.40,0.00
0.696,-0.05,0.61,0.80,0.16,0.13,0.53,-0.15,0.08,0.40,0.00
0.714,-0.02,0.66,0.81,0.16,0.13,0.53,-0.15,0.08,0.40,0.00
0.716,0.02,0.65,0.77,0.16,0.13,0.53,-0.15,0.08,0.40,0.00
0.716,0.03,0.66,0.75,0.16,0.13,0.53,-0.15,0.08,0.40,0.00
0.734,0.03,0.66,0.75,0.16,0.13,0.53,0.07,0.43,0.44,0.00
0.735,0.03,0.66,0.75,0.51,-0.02,0.41,0.07,0.43,0.44,0.00
0.773,0.03,0.66,0.75,0.40,0.15,-0.21,0.07,0.43,0.44,0.00
0.774,0.03,0.66,0.75,0.40,0.15,-0.21,-0.04,0.64,0.37,0.00
0.774,0.00,0.68,0.71,0.40,0.15,-0.21,-0.04,0.64,0.37,0.00
0.775,-0.02,0.66,0.70,0.40,0.15,-0.21,-0.04,0.64,0.37,0.00
0.775,-0.00,0.68,0.72,0.40,0.15,-0.21,-0.04,0.64,0.37,0.00
0.814,-0.00,0.68,0.72,0.41,0.16,-0.21,-0.04,0.64,0.37,0.00
0.815,-0.00,0.68,0.72,0.41,0.16,-0.21,-0.10,0.49,0.41,0.00
0.832,0.04,0.68,0.72,0.41,0.16,-0.21,-0.10,0.49,0.41,0.00
0.833,0.07,0.69,0.74,0.41,0.16,-0.21,-0.10,0.49,0.41,0.00
0.834,0.09,0.70,0.74,0.41,0.16,-0.21,-0.10,0.49,0.41,0.00
0.852,0.09,0.70,0.74,1.09,0.35,-0.02,-0.10,0.49,0.41,0.00
0.853,0.09,0.70,0.74,1.09,0.35,-0.02,-0.19,0.39,0.38,0.00
0.893,0.09,0.70,0.74,0.70,0.36,0.03,-0.19,0.39,0.38,0.00
0.894,0.09,0.70,0.74,0.70,0.36,0.03,-0.32,0.29,0.29,0.00
0.894,0.06,0.72,0.73,0.70,0.36,0.03,-0.32,0.29,0.29,0.00
0.895,0.02,0.69,0.75,0.70,0.36,0.03,-0.32,0.29,0.29,0.00
0.895,-0.00,0.64,0.76,0.70,0.36,0.03,-0.32,0.29,0.29,0.00
0.931,-0.00,0.64,0.76,0.66,0.46,-0.06,-0.32,0.29,0.29,0.00
0.932,-0.00,0.64,0.76,0.66,0.46,-0.06,-0.42,0.28,0.37,0.00
0.952,-0.03,0.64,0.80,0.66,0.46,-0.06,-0.42,0.28,0.37,0.00
0.954,-0.04,0.64,0.82,0.66,0.46,-0.06,-0.42,0.28,0.37,0.00
0.954,-0.01,0.63,0.80,0.66,0.46,-0.06,-0.42,0.28,0.37,0.00
0.972,-0.01,0.63,0.80,0.66,0.46,-0.06,-0.43,-0.02,0.43,0.00
0.974,-0.01,0.63,0.80,0.02,0.11,0.40,-0.43,-0.02,0.43,0.00
1.011,-0.01,0.63,0.80,0.02,0.11,0.40,-0.48,-0.48,0.37,0.00
1.013,0.05,0.54,0.80,0.02,0.11,0.40,-0.48,-0.48,0.37,0.00
1.013,0.08,0.54,0.82,0.02,0.11,0.40,-0.48,-0.48,0.37,0.00
1.014,0.06,0.59,0.86,0.02,0.11,0.40,-0.48,-0.48,0.37,0.00
1.015,0.06,0.59,0.86,0.67,-0.50,0.43,-0.48,-0.48,0.37,0.00
1.05,0.06,0.59,0.86,0.67,-0.50,0.43,-0.41,-0.54,0.37,0.00
1.051,0.06,0.59,0.86,0.40,-0.36,0.32,-0.41,-0.54,0.37,0.00
1.071,0.10,0.62,0.85,0.40,-0.36,0.32,-0.41,-0.54,0.37,0.00
1.073,0.10,0.63,0.78,0.40,-0.36,0.32,-0.41,-0.54,0.37,0.00
1.074,0.09,0.63,0.81,0.40,-0.36,0.32,-0.41,-0.54,0.37,0.00
1.091,0.09,0.63,0.81,0.40,-0.36,0.32,-0.36,0.59,0.49,0.00
1.092,0.09,0.63,0.81,0.71,0.42,0.14,-0.36,0.59,0.49,0.00
1.133,0.09,0.63,0.81,0.55,-0.40,0.41,-0.36,0.59,0.49,0.00
1.137,0.09,0.63,0.81,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.138,0.07,0.56,0.87,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.139,0.07,0.49,0.86,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.14,0.06,0.54,0.82,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.169,0.06,0.54,0.82,0.55,-0.40,0.41,-0.42,0.56,0.78,0.00
1.17,0.06,0.54,0.82,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.188,0.01,0.58,0.90,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.188,0.03,0.51,0.99,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.189,-0.02,0.47,0.94,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.208,-0.02,0.47,0.94,0.53,-0.26,0.30,-0.33,0.62,0.73,0.00
1.209,-0.02,0.47,0.94,-0.02,-0.24,1.07,-0.33,0.62,0.73,0.00
1.248,-0.02,0.47,0.94,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.25,-0.05,0.45,0.83,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.251,-0.07,0.49,0.79,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.251,-0.14,0.54,0.78,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
