#Temps  x  y  z  vx  vy  vz  ax  ay  az
0.016000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.500000  -0.340000  -0.070000
0.017000  0.000000  -0.000000  -0.000000  0.000410  -0.000370  -0.000090  0.410000  -0.370000  -0.090000
0.022000  0.000005  -0.000005  -0.000001  0.002460  -0.002220  -0.000540  0.410000  -0.370000  -0.090000
0.023000  0.000006  -0.000005  -0.000001  0.002870  -0.002590  -0.000630  0.410000  -0.370000  -0.090000
0.023000  0.000006  -0.000005  -0.000001  0.002870  -0.002590  -0.000630  0.410000  -0.370000  -0.090000
0.041000  0.000072  -0.000065  -0.000016  0.010250  -0.009250  -0.002250  0.410000  -0.370000  -0.090000
0.042000  0.000072  -0.000065  -0.000016  0.010090  -0.009310  -0.002310  -0.160000  -0.060000  -0.060000
0.081000  -0.000050  -0.000111  -0.000061  0.003850  -0.011650  -0.004650  -0.160000  -0.060000  -0.060000
0.082000  -0.000050  -0.000111  -0.000061  0.003690  -0.011710  -0.004710  -0.160000  -0.060000  -0.060000
0.082000  -0.000050  -0.000111  -0.000061  0.003690  -0.011710  -0.004710  -0.160000  -0.060000  -0.060000
0.082000  -0.000050  -0.000111  -0.000061  0.003690  -0.011710  -0.004710  -0.160000  -0.060000  -0.060000
0.083000  -0.000050  -0.000111  -0.000061  0.003530  -0.011580  -0.004630  -0.160000  0.130000  0.080000
0.120000  -0.000159  -0.000022  -0.000007  -0.002390  -0.006770  -0.001670  -0.160000  0.130000  0.080000
0.121000  -0.000160  -0.000022  -0.000007  -0.002560  -0.006670  -0.001610  -0.170000  0.100000  0.060000
0.141000  -0.000194  -0.000002  0.000005  -0.005960  -0.004670  -0.000410  -0.170000  0.100000  0.060000
0.142000  -0.000194  -0.000001  0.000005  -0.006130  -0.004570  -0.000350  -0.170000  0.100000  0.060000
0.142000  -0.000194  -0.000001  0.000005  -0.006130  -0.004570  -0.000350  -0.170000  0.100000  0.060000
0.160000  -0.000221  0.000015  0.000015  -0.009190  -0.002770  0.000730  -0.170000  0.100000  0.060000
0.161000  -0.000221  0.000015  0.000015  -0.009400  -0.002610  0.000880  -0.210000  0.160000  0.150000
0.200000  -0.000381  0.000136  0.000129  -0.017590  0.003630  0.006730  -0.210000  0.160000  0.150000
0.201000  -0.000381  0.000137  0.000129  -0.017800  0.003790  0.006880  -0.210000  0.160000  0.150000
0.201000  -0.000381  0.000137  0.000129  -0.017800  0.003790  0.006880  -0.210000  0.160000  0.150000
0.202000  -0.000381  0.000137  0.000129  -0.018010  0.003950  0.007030  -0.210000  0.160000  0.150000
0.202000  -0.000381  0.000137  0.000129  -0.018010  0.003950  0.007030  -0.130000  0.290000  0.240000
0.239000  -0.000477  0.000349  0.000266  -0.023190  0.015420  0.014430  -0.140000  0.310000  0.200000
0.241000  -0.000477  0.000349  0.000267  -0.023470  0.016040  0.014830  -0.140000  0.310000  0.200000
0.259000  -0.000500  0.000400  0.000299  -0.025990  0.021620  0.018430  -0.140000  0.310000  0.200000
0.260000  -0.000500  0.000400  0.000299  -0.026130  0.021930  0.018630  -0.140000  0.310000  0.200000
0.260000  -0.000500  0.000400  0.000299  -0.026130  0.021930  0.018630  -0.140000  0.310000  0.200000
0.286000  -0.000547  0.000505  0.000367  -0.029770  0.029990  0.023830  -0.140000  0.310000  0.200000
0.287000  -0.000547  0.000505  0.000367  -0.029640  0.030000  0.023970  0.130000  0.010000  0.140000
0.318000  -0.000485  0.000509  0.000434  -0.025610  0.030310  0.028310  0.130000  0.010000  0.140000
0.319000  -0.000485  0.000509  0.000434  -0.025480  0.030320  0.028450  0.130000  0.010000  0.140000
0.320000  -0.000485  0.000509  0.000434  -0.025350  0.030330  0.028590  0.130000  0.010000  0.140000
0.320000  -0.000485  0.000509  0.000434  -0.025350  0.030330  0.028590  0.130000  0.010000  0.140000
0.321000  -0.000485  0.000509  0.000434  -0.024960  0.030400  0.028800  0.390000  0.070000  0.210000
0.359000  -0.000203  0.000560  0.000586  -0.010140  0.033060  0.036780  0.390000  0.070000  0.210000
0.360000  -0.000203  0.000560  0.000586  -0.009770  0.033170  0.036980  0.370000  0.110000  0.200000
0.379000  -0.000136  0.000580  0.000622  -0.002740  0.035260  0.040780  0.370000  0.110000  0.200000
0.380000  -0.000136  0.000580  0.000622  -0.002370  0.035370  0.040980  0.370000  0.110000  0.200000
0.381000  -0.000136  0.000580  0.000622  -0.002000  0.035480  0.041180  0.370000  0.110000  0.200000
0.397000  -0.000088  0.000594  0.000648  0.003920  0.037240  0.044380  0.370000  0.110000  0.200000
0.399000  -0.000088  0.000594  0.000648  0.004560  0.037440  0.044800  0.320000  0.100000  0.210000
0.441000  0.000195  0.000683  0.000834  0.018000  0.041640  0.053620  0.320000  0.100000  0.210000
0.443000  0.000195  0.000683  0.000834  0.018640  0.041840  0.054040  0.320000  0.100000  0.210000
0.443000  0.000195  0.000683  0.000834  0.018640  0.041840  0.054040  0.320000  0.100000  0.210000
0.444000  0.000195  0.000683  0.000834  0.018960  0.041940  0.054250  0.320000  0.100000  0.210000
0.445000  0.000196  0.000683  0.000834  0.019560  0.041600  0.054250  0.600000  -0.340000  -0.000000
0.476000  0.000571  0.000577  0.000921  0.043740  0.034780  0.059830  0.780000  -0.220000  0.180000
0.477000  0.000571  0.000577  0.000921  0.044520  0.034560  0.060010  0.780000  -0.220000  0.180000
0.497000  0.000727  0.000533  0.000957  0.060120  0.030160  0.063610  0.780000  -0.220000  0.180000
0.499000  0.000728  0.000532  0.000957  0.061680  0.029720  0.063970  0.780000  -0.220000  0.180000
0.499000  0.000728  0.000532  0.000957  0.061680  0.029720  0.063970  0.780000  -0.220000  0.180000
0.516000  0.000841  0.000501  0.000983  0.074940  0.025980  0.067030  0.780000  -0.220000  0.180000
0.517000  0.000841  0.000501  0.000983  0.075030  0.026040  0.067140  0.090000  0.060000  0.110000
0.555000  0.000906  0.000544  0.001063  0.078450  0.028320  0.071320  0.090000  0.060000  0.110000
0.556000  0.000906  0.000544  0.001063  0.078540  0.028380  0.071430  0.090000  0.060000  0.110000
0.557000  0.000906  0.000544  0.001063  0.078630  0.028440  0.071540  0.090000  0.060000  0.110000
0.558000  0.000906  0.000544  0.001063  0.078720  0.028500  0.071650  0.090000  0.060000  0.110000
0.558000  0.000906  0.000544  0.001063  0.078720  0.028500  0.071650  -0.230000  -0.750000  -0.460000
