#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.009,-0.14,0.71,0.60,-0.24,-0.36,-0.12,-0.19,-0.18,-0.11,0.00
0.01,-0.14,0.78,0.68,-0.24,-0.36,-0.12,-0.19,-0.18,-0.11,0.00
0.011,-0.16,0.80,0.72,-0.24,-0.36,-0.12,-0.19,-0.18,-0.11,0.00
0.012,-0.12,0.78,0.71,-0.24,-0.36,-0.12,-0.19,-0.18,-0.11,0.00
0.012,-0.12,0.78,0.71,-0.36,0.04,-0.08,-0.19,-0.18,-0.11,0.00
0.013,-0.12,0.78,0.71,-0.36,0.04,-0.08,-0.67,0.01,-0.03,0.00
0.014,-0.12,0.78,0.71,-0.33,0.20,-0.25,-0.67,0.01,-0.03,0.00
0.019,-0.09,0.72,0.73,-0.33,0.20,-0.25,-0.67,0.01,-0.03,0.00
0.02,-0.10,0.63,0.71,-0.33,0.20,-0.25,-0.67,0.01,-0.03,0.00
0.02,-0.12,0.61,0.67,-0.33,0.20,-0.25,-0.67,0.01,-0.03,0.00
0.045,-0.12,0.61,0.67,-0.33,0.20,-0.25,-0.52,0.16,-0.18,0.00
0.045,-0.12,0.61,0.67,-0.05,0.69,0.07,-0.52,0.16,-0.18,0.00
0.078,-0.12,0.61,0.67,-0.05,0.69,0.07,-0.00,0.02,-0.50,0.00
0.079,-0.14,0.64,0.64,-0.05,0.69,0.07,-0.00,0.02,-0.50,0.00
0.079,-0.16,0.67,0.64,-0.05,0.69,0.07,-0.00,0.02,-0.50,0.00
0.079,-0.17,0.71,0.65,-0.05,0.69,0.07,-0.00,0.02,-0.50,0.00
0.08,-0.17,0.71,0.65,0.09,-0.64,-0.35,-0.00,0.02,-0.50,0.00
0.118,-0.17,0.71,0.65,0.20,-0.56,-0.34,-0.00,0.02,-0.50,0.00
0.119,-0.17,0.71,0.65,0.20,-0.56,-0.34,-0.03,-0.14,-0.59,0.00
0.138,-0.16,0.73,0.66,0.20,-0.56,-0.34,-0.03,-0.14,-0.59,0.00
0.139,-0.14,0.75,0.70,0.20,-0.56,-0.34,-0.03,-0.14,-0.59,0.00
0.139,-0.13,0.76,0.71,0.20,-0.56,-0.34,-0.03,-0.14,-0.59,0.00
0.158,-0.13,0.76,0.71,-0.20,0.29,-0.70,-0.03,-0.14,-0.59,0.00
0.159,-0.13,0.76,0.71,-0.20,0.29,-0.70,-0.42,-0.33,-0.31,0.00
0.197,-0.13,0.76,0.71,-0.20,0.29,-0.70,-0.52,-0.26,-0.13,0.00
0.198,-0.15,0.73,0.77,-0.20,0.29,-0.70,-0.52,-0.26,-0.13,0.00
0.198,-0.18,0.69,0.85,-0.20,0.29,-0.70,-0.52,-0.26,-0.13,0.00
0.199,-0.20,0.65,0.85,-0.20,0.29,-0.70,-0.52,-0.26,-0.13,0.00
0.199,-0.20,0.65,0.85,-0.01,0.83,-0.05,-0.52,-0.26,-0.13,0.00
0.244,-0.20,0.65,0.85,-0.01,0.83,-0.05,-0.17,-0.35,-0.04,0.00
